,TEMA,TEXT
0,comunicados,"Todo aquel que tiene un modelo de negocio entre manos está obligado a invertir en los recursos que van a optimizar valores tan importantes como la productividad, la eficiencia o la rentabilidad. Por suerte, vivimos en una época idónea para ella, repleta de servicios digitales que van precisamente en esta línea. La tecnología ha superado todos los límites que, a principio de siglo, nos podíamos llegar a imaginar. Por eso, en un entorno tan competitivo como el empresarial, es crucial poner el foco en sistemas de avanzada como los ERP. Unos programas de última generación que cumplen con un buen abanico de funciones capaces de marcar un punto de inflexión en lo relativo a la gestión corporativa. En qué consisten los ERP Antes de detallar cuáles son las prestaciones y las principales ventajas de los programas de gestión empresarial, es importante definir exactamente qué es un software ERP. Estamos ante un sistema informático con el que la información clave del negocio se aloja en la nube y que es capaz de procesar datos corporativos a una velocidad inconmensurable; automatizando buena parte de lo que sucede en la compañía. De este modo, podrás acceder a las cuestiones más importantes en materia de gestión empresarial de tu emprendimiento desde cualquier dispositivo con acceso a internet, bien sea un móvil o un ordenador. Asimismo, dicha automatización acelera los procesos cotidianos, incrementando en gran medida el grado de productividad del negocio. Ahora bien, la interfaz de un ERP no está solo disponible para los altos cargos. Todos los miembros de la empresa tendrán su propio sistema personal para que la compañía en su conjunto quede conectada al entorno digital. Un espacio donde cada uno podrá resolver sus tareas diarias con más agilidad y menos errores, optimizando en gran medida los resultados obtenidos en la jornada laboral. Qué puede hacer un ERP por tu empresa Una vez explicado qué es un ERP, queremos profundizar en la materia para hablar del diseño de estos programas. Unos softwares que están diseñados a base de módulos donde cada sección cumple con una tarea concreta. Cubriendo así buena parte de la cotidianidad de la corporación en aras de mejorar los resultados que se pueden llegar a obtener a diario. Pero, ¿cuáles son los módulos más habituales? En este punto, destacan algunos como los de contabilidad, los de gestión de compras, de venta, de tesorería y de almacén, los de punto de venta, los de BI, los de servicios web, los de producción o los de facturación, entre otros. Todas estas áreas del negocio quedarán digitalizadas y, por ende, buena parte de la rutina en estos departamentos se resolverá de manera automatizada. Al automatizar los procesos en estos departamentos, tanto tú como tu equipo resolveréis las tareas pendientes con más rapidez. Esto os dejará más tiempo libre para incrementar los parámetros de productividad del día a día y, por ende, aumentar el volumen de ganancias que sois capaces de generar en el desarrollo habitual de una jornada de trabajo. Ventajas de implementar un ERP Teniendo en cuenta todo lo planteado hasta el momento, es más que probable que ya hayas visto algunas de las ventajas de implementar un ERP en tu empresa. De hecho, el ya comentado incremento de la productividad es uno de los más destacados, el cual queda estrictamente ligado al aumento de la rentabilidad del emprendimiento. Ahora bien, este ascenso de la rentabilidad también llega por otras vías. Ejemplo de ello es la capacidad de detectar sobrecostes en cuestión de segundos, pudiendo cortar de raíz todo aquello que va en contra de la eficiencia económica. También, al procesar altas cantidades de datos, como directivo te será mucho más sencillo tomar decisiones acertadas, poniendo rumbo hacia el crecimiento empresarial. Si a todo esto le sumamos que, siempre y cuando se invierta en los mejores softwares y expertos en la materia, la integración es muy fácil y ágil, se evidencia que la inversión es sinónimo de éxito. Una apuesta por la transformación digital que te traerá buenos resultados desde un principio."
1,lugo,"El arquitecto Manuel José López Guitar, uno de los profesionales que más ha influido en el urbanismo reciente de la ciudad a través del estudio GAU, falleció este miércoles a los 62 años de edad. La noticia despertó una sincera ola de pesar en la ciudad, donde era muy conocido y apreciado, ya que también se había destacado como un gran amante del arte y la cultura y como uno de los impulsores desde sus inicios del Arde Lucus. Formaba parte del estudio de arquitectura GAU junto a Alberte González, Jorge Salvador y Jorge Gómez Cereijo. Con ellos participó tanto en el diseño de las actuaciones urbanísticas en numerosas zonas de la capital como en la rehabilitación de edificios públicos. Entre otros, destacó el trabajo que realizaron en el anteproyecto para la peatonalización del centro de Lugo y las reformas en el sanatorio Nosa Señora dos Ollos Grandes de Lugo, el Seminario Diocesano de Lugo, la Fonte de Porta Miñá y el Pazo de Sangro-Hotel Orbán y el balneario de Guitiriz, así como en la rehabilitación de la iglesia de Vilar de Donas (Palas de Rei) y en la de la aldea de A Seara (O Courel), o en la construcción del recientemente inaugurado centro de convivencia de A Piringalla. Investigan la muerte de una mujer hallada inconsciente en Nogueira de Ramuín Conocido entre sus seres queridos como Guiti, este lucense estudió en el antiguo Masculino (hoy el IES Lucus Augusti) y se licenció en 1993 en la Escuela Técnica de Arquitectura de A Coruña, en la especialidad de Edificación. Posteriormente hizo un máster en Rehabilitación. Como buen arquitecto, era un amante del arte y un virtuoso del dibujo. De hecho, su último trabajo, entregado ya cuando se encontraba hospitalizado, fue la ilustración para la portada de la revista Chío, que acaba de sacar su último número. Además, fue un gran activista del Arde Lucus. Colaboró en principio con una de las asociaciones fundadoras, para entregar luego sus esfuerzos a Pax Romana. López Guitar estaba casado con Ana María Cortón y deja dos hijos, Alejandro y María, para él, sin duda, sus dos mejores obras."
4,,"El retorcimiento al que se somete el lenguaje para justificar lo injustificable con el mantra de la pacificación de un país ya pacificado formalmente con la Constitución del 78 que hoy celebramos roza el esperpento y preocupa por el grado de extorsión al que es sometida la verdad. La amnistía ya no es inconstitucional, sino una necesidad colectiva del pueblo español como el aire que respira. La malversación ya no es corrupción, sino una rebaja piadosa con la que exculpar a los socios del 3 por ciento. La sedición ya no existe, porque se ha eliminado directamente del Código Penal. Y el verificador ya no es ni mediador ni nada que se le parezca, sino un ‘acompañante’ para que los novios respeten el decoro y su encuentro clandestino en Ginebra para negociar España con un beso a tornillo. El ‘acompañante’ es la nueva palabra recogida en el diccionario de la Real Academia Española de la mentira, según acuñó el ministro Bolaños. Es un ‘tercero’, tal y como definió el presidente del Gobierno, la carabina de la ronda amorosa del triángulo, la escopeta con la que vigilar que PSOE, Junts y ERC y se comporten como es debido por esas tierras suizas de Dios. Y además, un ‘acompañante’ para cada socio, no sea que se celen. El acompañante es el curilla que vigilará la pureza del trato oculto, el confesor de Puigdemont, Junqueras  y Santos Cerdán, ese botafumeiro de incienso con el que purificar la traición a la separación de poderes y el Estado de derecho. Aquí no hay un mediador entre dos naciones de naciones; hay un ‘acompañante’ extranjero especializado en guerrillas para que el PSOE y Junts lo apañen en la intimidad, una especie de asistente de la ignominia, el escolta del oscurantismo, el lazarillo con el que impedir a los españoles una visión nítida de lo que está pasando. El acompañante no es un escort o chico de compañía aunque cobrará por certificar que todo está en orden para borrar los delitos del prófugo y demás delincuentes golpistas. El acompañante Galindo es un amigo, un servidor, un siervo, que diría López Vázquez, la música de fondo con la que distraer del significado de la letra inconstitucional de la amnistía. El acompañante es el compañero de la deslealtad a España, el pasante de la farsa, el ginecólogo con el que le están dando por saco al 60/70 por ciento de los españoles que rechazan la amnistía y no fueron informados en la campaña electoral de semejante cornamenta. Aquí no solo no hay amnistía ni sedición ni malversación ni intento de golpe de Estado ni delitos ni desigualdad entre españoles ni verificador ni mediador ni nada de nada. Lo que hay es un estupendo ‘acompañante’ sin pinganillo, un maestro de ceremonias de la perífrasis, un posibilista político de la declaración unilateral de independencia.  Ahora que el diccionario de la Rae ha incluido palabros de uso y costumbres como machirulo, perreo o chundachunda, debemos ir pensando en incluir en la próxima ampliación una nueva acepción de acompañante: «Dícese de verificador, mediador o tercero con el que mantener a  Pedro Sánchez en el poder a costa de pactos irrespetuosos con la Constitución»."
5,gente,"La cantante estadounidense Taylor Swift ha sido elegida el día 6 de diciembre como la Persona del Año por la revista Time, en su esperada lista anual, posicionándose por encima de los otros candidatos, como el presidente chino Xi Jinping, la muñeca Barbie o el gurú de la Inteligencia Artificial Sam Altman. Una fan de Taylor Swift muere por el calor antes de un concierto Con 33 años, Swift tiene una larga carrera detrás de casi dos décadas; su actual gira The Eras Tour, así como la película inspirada en esa misma gira, se han convertido en dos hitos del año, musical y cinematográfico, al haber atraído a millones de espectadores."
6,,"Nunca antes, que uno recuerde, el cotarro político nacional había condicionado tanto como ahora mismo el escenario gallego. Se extiende la idea de que la fecha definitiva  de  elecciones autonómicas no se decidirá en San Caetano, ni en la sede del PP gallego, sino en la planta noble de la calle Génova. Porque, aunque quien formalmente las convoca es Alfonso Rueda, habrá de tener muy en cuenta el criterio de Feijóo, que para algo es el que lo ungió como sucesor, además de presidente nacional del partido. Del mismo modo, en última instancia fue cosa de Pedro Sánchez que el candidato socialista a la presidencia de la Xunta sea José Ramón Gómez Besteiro, un dedazo al que en la sede del PSdeG no pusieron reparos, por la cuenta que les tiene, porque además les pareció una buena idea y encima se ahorraban el quebradero de cabeza y el desgaste de unas primarias de verdad. Por su condición de gallegas, las que mandan en Sumar se reservan el derecho a proponer a su cabeza de cartel en Galicia, si bien, sobre el papel, han de ser los afiliados o inscritos en los partidos que se sumen a la plataforma yolandista los que den el visto bueno a la propuesta, todavía por concretar, que se someta a su consideración. Así las cosas, el rupturismo gallego resulta ser tan sucursalista como el Partido Popular o el PSOE. Esa apariencia de mera franquicia es lo que retrae a Anova a la hora de integrarse —o simplemente converger— con Sumar, además de las suspicacias que genera en ese ámbito la figura de Yolanda Díaz, después de las experiencias de Age y En Marea que aún escuecen en el beirismo. De que el nuevo proyecto de Díaz parezca lo que es, un experimento de laboratorio engendrado lejos de Galicia, se encargará el Bloque, la única fuerza sin ataduras con Madrid. Al mismo tiempo, también resulta imposible encontrar antecedentes de una coyuntura, como la de este momento, en que la decisión de los gallegos en sus propias elecciones pueda tener tanta repercusión en el plano político estatal. Feijóo se juega mucho en que Rueda conserve la mayoría absoluta y con ella el gobierno gallego. Un tropiezo en ‘sus’ autonómicas, aunque él no sea el candidato, erosionaría gravemente el liderazgo del actual presidente nacional y de su equipo. Sería un golpe muy duro, que rentabilizarían sus rivales internos. También quedaría tocado el ascendiente de Yolanda Díaz sobre buena parte de la constelación que es Sumar si lo que cosecha en las urnas gallegas no es un resultado mínimamente digno. No puede aspirar más que a ser la cuarta fuerza, pero entrar por los pelos tampoco estaría a la altura de las expectativas. Nunca antes se había visto a un líder del PSOE, menos aún siendo presidente de gobierno, involucrarse tanto, él y la dirección del partido, en unas elecciones gallegas. Desde designar el candidato —que no es lo mismo que bendecirlo o darlo por bueno—, otorgándole relevancia y visibilidad a nivel nacional, hasta volcarse en la campaña desde la Moncloa y Ferraz. Si Besteiro no logra como mínimo ser el líder de la oposición, porque los socialistas vuelvan a quedar por detrás del Bloque en el Parlamento gallego,  el fracaso se anotará en el debe de Pedro Sánchez. De eso se encargarán, no ya sus rivales políticos, naturalmente, sino también los furibundos antisanchistas de allí y unos cuantos pedristas conversos de aquí. Los éxitos son a veces muy costosos, pero los fracasos siempre salen caros. "
7,,"Estamos alertados por la irrupción de la inteligencia artificial y resulta que no hemos conseguido siquiera ponerle freno a las redes sociales. Este lunes trascendió una demanda de la Asociación de Medios Impresos (Ami), que agrupa a más de 80 periódicos españoles, contra Meta (Facebook, Instagram y Whatsapp) por competencia desleal y por incumplir normas de la UE de protección de datos al personalizar la publicidad. En octubre, 41 estados de EE UU habían denunciado a la compañía de Mark Zuckerberg por desarrollar sus productos para hacerlos adictivos para menores, con el consiguiente peligro para su equilibrio mental. Ahora también se habla de acciones contra Twitter y TikTok. ¿Estaremos por fin tomando conciencia del problema?"
8,a-marina,"Cintia García nació en Mondoñedo y lleva dos años al timón de la librería Soños en Papel, en Lourenzá, y se considera muy satisfecha. Abre toda la semana de lunes a viernes por la mañana y por la tarde y los sábados solo por la mañana. Asegura que el negocio ha tenido una gran acogida en el pueblo.  ¿Qué balance hace tras dos años con la librería abierta? La verdad es que estoy muy contenta. Vamos progresando poco a poco, pero tengo la misma ilusión que el primer día. Tiene un negocio donde hay juguetería, droguería, complementos, papelería... ¿Qué es lo que mejor funciona? Pues nos está funcionando un poco todo, no hay una cosa que lo haga mejor. En estas fechas, con Papá Noel y los Reyes, es una época fuerte de juguetería, donde tenemos ya el catálogo. Y en septiembre es otro periodo bueno por el tema del inicio de los colegios, con los libros de texto. ¿Y cómo es tener una papelería en una localidad con pocos habitantes? Pues tienes que tener un poco de todo, por si te vienen a buscar algo y no lo tienes... Valín: el librero que no conoce la soledad Y usted, ¿cómo se siente tras dos años con su negocio propio? Estoy muy contenta, la verdad es que no lo cambio por nada. ¿De qué sector venía? Había trabajado en supermercados y también de camarera, porque mi hermana tiene un bar. Pero siempre había querido tener una librería. Entones vi que se traspasaba esta tienda y si no la cogía nadie cerraba, así que tiré para delante. En casa me apoyaron. ¿Qué es lo que más le gusta de su trabajo? Me gusta todo, pero sobre todo tratar con la gente, tener ese feeling. Es lo más bonito. De escritores, los mas vendidos este año son Pérez Reverte y Fernández del Riego por las Letras Galegas ¿Se lee en Lourenzá? La verdad es que más de lo que pensaba, tanto en adultos como en infantil. Lo cierto es que es algo que está teniendo mucho éxito para ser un pueblo como somos. ¿Qué libro se ha vendido más en su tienda en los dos años que lleva abierta? Pues no te sabría decir un libro en concreto. Quizá, de escritores, Arturo Pérez Reverte es uno de los que más se lee. Y este año también se vendieron mucho los libros de Fernández del Riego, porque fue autor homenajeado en las Letras Galegas 2023. ¿Y los jóvenes, leen también? Sí, leen mucho. Además, ahora hay youtubers metidos a escritores, como Arta, y se vende bastante. ¿A usted le gusta leer para hacer recomendaciones a sus lectores? Sí, me gusta leer, lo que pasa es que me falta tiempo, se me queda corto. Sobre todo leo por las noches, antes de dormir. El nombre de la librería, Soños en Papel, ¿cómo surgió? Pues fui tanteando nombres y fue el que más me gustó. Y como realmente era un sueño... ¿Cuáles son las épocas más fuertes para la librería? Además de diciembre y septiembre también trabajo para San Valentín, para el día de la madre y del padre, comuniones... Y hago cosas personalizadas."
11,ribeira-sacra,"La agrupación local de la Cruz Roja de Monforte tiene en marcha el programa de reparto de alimentos a familias necesitadas del municipio. Son 18.000 los kilogramos de comida no perecedera que ha comenzado a ser entregada a unas 200 familias que suman un total de 550 personas. Es la segunda distribución que se realiza este año. La primera tuvo lugar en el mes de junio, según explicó la educadora social de Cruz Roja Monforte, Guadalupe Rodríguez. Añadió que un grupo de voluntarios son los encargados de realizar los lotes y llevárselos a las familias necesitadas a un ritmo de 30 diarias, por lo que el proceso, añadió, está prácticamente finalizado. Cruz Roja pospone la VI Andaina Solidaria de Vilalba, que se celebrará el 17 En cuanto al perfil de los usuarios de este servicio, Guadalupe Rodríguez indicó que la práctica totalidad son personas sin empleo y con rentas mínimas. Asimismo, destacó la presencia de muchos inmigrantes que carecen de trabajo y que no tienen su documentación de residencia en España totalmente en regla. Cruz Roja se mantiene en contacto con otras organizaciones, como el Banco de Alimentos o Cáritas, para que no haya un duplicidad de personas atendidas. Ni un niño sin juguetes en Lugo Juguetes Esta educadora social también anunció que se encuentra en marcha la tradicional campaña de recogida de juguetes para niños de hasta doce años de edad que forman parte de familias con escasos recursos económicos, las mismas que se ven forzadas a recurrir a los alimentos que reparte la entidad. Guadalupe Rodríguez indicó que son unos 175 pequeños. Destacó el apoyo de los centros educativos de la ciudad y de muchos particulares, así como del establecimiento Pleximar, para conseguir juguetes nuevos ni bélicos ni sexistas."
13,gente,"EL DESPLANTE, una hora antes de pasar por el altar, del torero Juan Ortega a su novia, Carmen Otte, ha recordado inevitablemente a la película de 1999 protagonizada por Julia Roberts y Richard Gere: Novia a la fuga. Pero la realidad muchas veces supera a la ficción y las espantadas nupciales son mas habituales de lo que parece en el mundo de las celebrities. Precisamente la propia Roberts, en el año 1991, a apenas tres días de casarse con Kiefer Sutherland lo dejó y se marchó a Irlanda con el actor Jason Patric, uno de los mejores amigos del novio. ""Creo que estaba siendo honesta consigo misma y en el fondo sé que hizo lo correcto"", reflexionó el intérprete de la serie 24. El torero Juan Ortega deja plantada a su prometida en el altar Los 90 fueron un poco locos en Hollywood con una larga lista de romances y súbitas rupturas. Brad Pitt y Gwyneth Paltrow, de 29 y 22 años por aquel entonces, estuvieron a punto de pasar por el altar tras conocerse en el rodaje de Seven, pero la pareja rompió su relación seis meses antes de la boda, prevista para 1997. Pese a todo, los actores siguieron llevándose muy bien y ambos achacaron su ruptura sentimental a su juventud. El torero Juan Ortega, que dejó plantada a su novia una hora antes de darse el 'si quiero' hace recordar otros casos de celebrities Otra gran estrella de Hollywood dio el campanazo. Cuando Jennifer López y Ben Affleck se comprometieron en 2002, él le regaló un diamante rosa de Harry Winston de 6,5 quilates valorado en 2,5 millones de dólares. La boda se iba celebrar el 14 de septiembre de 2003 en Santa Bárbara y estaban invitados Bruce Willis, Jack Nicholson o Matt Damon, pero cuatro días antes se canceló. Quizás la cantante Natalia Jiménez vio la comedia romántica de Roberts cuando se convirtió en una novia a la fuga en la vida real. La cantante de La Quinta Estación dejó a su novio, el empresario Antonio Alcol, el mismo día de la boda que se iba a celebrar en un palacete solariego a las afueras de Madrid hace seis años tras pagar el banquete. La vocalista justificó su espantada por ""motivos personales, cosas de pareja que pasan"", la misma razón que alegó el día 2 pasado el torero para no pasar por la vicaría. Jennifer Lopez borra su contenido y su foto de perfil de Instagram Tras once años de noviazgo el empresario Antonio de la Rúa decidió romper su compromiso son Shakira tan solo dos semanas antes que se produjera. Se rumoreó que una supuesta infidelidad del joven dio al traste con el enlace nupcial. Otro rostros conocidos anunciaron a lo grande sus compromisos, incluso con diamantes, pero finalmente se vieron abocados al fracaso. Parecía que a la tercera iba la vencida para Esther Cañadas, que previamente había estado casada con el modelo Mark Vanderloo y el piloto Sete Gibernau, pero su compromiso con el empresario hotelero Vikram Chatwal en 2013 acabó por cancelarse. También Rosalía y Rauw Alejandro se separaron y no llegaron a pasar por el altar a pesar que él le regaló a la catalana un espectacular anillo de compromiso. En nuestro país también fue muy sonada la ruptura entre la actriz Natalia Verbeke y el chef Jaime Renedo. En otoño de 2014 la pareja tomó sorpresivamente la decisión de no casarse sin desvelar los motivos."
15,gente,"La actriz francesa Hélène Darras ha denunciado por agresión sexual al actor Gérard Depardieu, quien, además de haber sido señalado este año públicamente por una quincena de mujeres por sus comportamientos sexuales inapropiados, contaba ya con una denuncia por violación de 2018. La nueva querella fue presentada en París en septiembre, a raíz de la colaboración de Darras con una investigación periodística sobre Depardieu del canal público France2, que se emitirá este jueves pero cuyos detalles ha avanzado ya en parte el portal France Info, también público. Los hechos denunciados que no están todavía prescritos y que se remontan al rodaje de la película Disco (2008), de Fabien Onteniente, cinta en la que Darras tuvo un pequeño papel secundario. Según el testimonio de la actriz, Depardieu, que olía a alcohol durante la filmación y la miraba ""como si fuera un trozo de carne"", la agarraba por la cintura para acercársela y le tocaba la cadera y las nalgas. También le propuso ir a su camerino con él, a lo que la actriz se negó, pero eso no impidió supuestamente al actor continuar con sus tocamientos entre toma y toma. La presunta víctima de Alves pide 12 años de cárcel para el futbolista La actriz explica que no dijo nada durante el rodaje por temor a represalias para su carrera, ya que Depardieu era el ""rey en el plató"", pero escribió un diario de aquellos días. ""Soy extra, aún no he terminado la escuela de arte dramático y quiero ser actriz. No quiero estar en la lista negra a los 26 años"", rememoró Darras en el programa Complément d'Enquête. La denunciante, pese a no haber presentado demanda hasta este año, sí había dado su testimonio con la policía para apoyar la querella que la también actriz Charlotte Arnould presentó en 2018 por violación. Esa quedó cerrada en 2019 pero al año siguiente la demandante logró que se reabriera la investigación y que el actor quedase imputado. A lo largo de este año, alrededor de una quincena de mujeres compartieron testimonios con medios de comunicación franceses, como Mediapart o France Info, acusando igualmente a Depardieu de comportamientos sexistas y sexuales en el contexto laboral, si bien no se habían presentado más denuncias. Frente a estas acusaciones, los abogados del protagonista de filmes como Cyrano de Bergerac (1990), que fue uno de los rostros más conocidos a nivel mundial del cine francés durante años, desmintieron ""cualquier conducta delictiva"". Junto a las acusaciones de comportamientos sexuales indebidos, este actor de la saga Astérix y Obélix (1999-2012), que tiene 74 años, también fue noticia en los últimos años por sus controvertidas posturas políticas. En 2013 adoptó la nacionalidad rusa en protesta por la política fiscal del entonces presidente, el socialista François Hollande, y alabó regularmente la Rusia de Vladímir Putin como ""una gran democracia"". No obstante, se ha manifestado en contra de la invasión de Ucrania."
